X,Y,pb_pb,sx_sl,ex_ob,sistema,tipo,subtipo,supramun,sup,cod,nome,parroquia,solo,obt,tipo_ces,ambito_ces,observ,icon_url
-7.99797776858999,42.37813221037,DPb,SX,Ex,IS,SAN,VERT,na,,,Punto de verquido,,na,na,na,na,V/32/00135B,
-7.99344071636159,42.3878872298709,DPb,SX,Ex,IS,SAN,VERT,na,,,Punto de verquido,,na,na,na,na,V/32/00135C,
-8.02968194463152,42.3801991278923,DPb,SX,Ex,IS,SAN,VERT,na,,,Punto de verquido,,na,na,na,na,V/32/00135F,
-7.99794755879746,42.3700655350146,DPb,SX,Ex,IS,SAN,VERT,na,,,Punto de verquido,,na,na,na,na,V/32/00135A,
-8.00208463167404,42.3651619794854,DPb,SX,Ex,IS,SAN,VERT,na,,,Punto de verquido,,na,na,na,na,V/32/00135D,
-8.00275553323395,42.3496745590098,DPb,SX,Ex,IS,SAN,VERT,na,,,Punto de verquido,,na,na,na,na,V/32/00135,
-8.00275553323395,42.3496745590098,DPb,SX,Ex,IS,SAN,EDAR,na,,,EDAR,,na,na,na,na,V/32/00135,
-7.99794755879746,42.3700655350146,DPb,SX,Ex,IS,SAN,EDAR,na,,,EDAR,,na,na,na,na,V/32/00135A,
-8.00208463167404,42.3651619794854,DPb,SX,Ex,IS,SAN,EDAR,na,,,EDAR,,na,na,na,na,V/32/00135D,
-7.99344071636159,42.3878872298709,DPb,SX,Ex,IS,SAN,EDAR,na,,,EDAR,,na,na,na,na,V/32/00135C,
-8.02968194463152,42.3801991278923,DPb,SX,Ex,IS,SAN,EDAR,na,,,EDAR,,na,na,na,na,V/32/00135F,
-7.99797776858999,42.37813221037,DPb,SX,Ex,IS,SAN,EDAR,na,,,EDAR,,na,na,na,na,V/32/00135B,
-8.0164047910069,42.3706328902681,DPb,SX,Ex,IS,ELE,LUMIN,na,,,cf,,na,na,na,na,cf,
-8.0165186020196,42.370934533018,DPb,SX,Ex,IS,ELE,LUMIN,na,,,cf,,na,na,na,na,cf,
-8.00553814026539,42.3604215791733,DPb,SX,Ex,IS,ELE,LUMIN,na,,,cf,,na,na,na,na,cf,
-8.01784667166134,42.3703930369344,DPb,SX,Ex,IS,ELE,LUMIN,na,,,cf,,na,na,na,na,cf,
-8.01697795665075,42.3704588433615,DPb,SX,Ex,IS,ELE,LUMIN,na,,,cf,,na,na,na,na,cf,
-8.01509027181862,42.3598643254438,DPb,SX,Ex,IS,ELE,LUMIN,na,,,cf,,na,na,na,na,cf,
-8.0154015324249,42.3599047474638,DPb,SX,Ex,IS,ELE,LUMIN,na,,,cf,,na,na,na,na,cf,
-8.01552409520584,42.3596391218489,DPb,SX,Ex,IS,ELE,LUMIN,na,,,cf,,na,na,na,na,cf,
-8.0161302242255,42.359354283639,DPb,SX,Ex,IS,ELE,LUMIN,na,,,cf,,na,na,na,na,cf,
-8.01611965571111,42.3596253076781,DPb,SX,Ex,IS,ELE,LUMIN,na,,,cf,,na,na,na,na,cf,
-8.00747318533674,42.3516206389118,DPb,SX,Ex,IS,ELE,LUMIN,na,,,cf,,na,na,na,na,cf,
-8.0161450449969,42.3700937782817,DPb,SX,Ex,IS,ELE,LUMIN,na,,,cf,,na,na,na,na,cf,
-8.01621738469101,42.3711208956025,DPb,SX,Ex,IS,ELE,LUMIN,na,,,cf,,na,na,na,na,cf,
-8.01651103038113,42.3712844793693,DPb,SX,Ex,IS,ELE,LUMIN,na,,,cf,,na,na,na,na,cf,
-7.99883617797848,42.3729831018008,DPb,SX,Ex,IS,ELE,LUMIN,na,,,cf,,na,na,na,na,cf,
-8.00865036720567,42.3536964549365,DPb,SX,Ex,IS,ELE,LUMIN,na,,,cf,,na,na,na,na,cf,
-8.00736892019377,42.3542688413489,DPb,SX,Ex,IS,ELE,LUMIN,na,,,cf,,na,na,na,na,cf,
-8.00738053312143,42.3544635424402,DPb,SX,Ex,IS,ELE,LUMIN,na,,,cf,,na,na,na,na,cf,
-8.00781610605145,42.3550403360667,DPb,SX,Ex,IS,ELE,LUMIN,na,,,cf,,na,na,na,na,cf,
-8.00890626363917,42.3545319783802,DPb,SX,Ex,IS,ELE,LUMIN,na,,,cf,,na,na,na,na,cf,
-8.00005874889576,42.3758789489073,DPb,SX,Ex,IS,ELE,LUMIN,na,,,cf,,na,na,na,na,cf,
-7.99821887108475,42.3755590072703,DPb,SX,Ex,IS,ELE,LUMIN,na,,,cf,,na,na,na,na,cf,
-7.99840086215651,42.3753544985754,DPb,SX,Ex,IS,ELE,LUMIN,na,,,cf,,na,na,na,na,cf,
-7.99792325983683,42.3755059069046,DPb,SX,Ex,IS,ELE,LUMIN,na,,,cf,,na,na,na,na,cf,
-7.99789509196239,42.3758803681907,DPb,SX,Ex,IS,ELE,LUMIN,na,,,cf,,na,na,na,na,cf,
-7.99704852289025,42.3750918418901,DPb,SX,Ex,IS,ELE,LUMIN,na,,,cf,,na,na,na,na,cf,
-7.99746502700635,42.374384902879,DPb,SX,Ex,IS,ELE,LUMIN,na,,,cf,,na,na,na,na,cf,
-8.02648825987358,42.3851340596979,DPb,SX,Ex,IS,ELE,LUMIN,na,,,cf,,na,na,na,na,cf,
-8.02614477101454,42.3848129502308,DPb,SX,Ex,IS,ELE,LUMIN,na,,,cf,,na,na,na,na,cf,
-7.99959256567078,42.3721103079243,DPb,SX,Ex,IS,ELE,LUMIN,na,,,cf,,na,na,na,na,cf,
-8.00863723548938,42.3542501491213,DPb,SX,Ex,IS,ELE,LUMIN,na,,,cf,,na,na,na,na,cf,
-7.99502133437127,42.3866593733646,DPb,SX,Ex,IS,ELE,LUMIN,na,,,cf,,na,na,na,na,cf,
-7.99457439621297,42.3866970232066,DPb,SX,Ex,IS,ELE,LUMIN,na,,,cf,,na,na,na,na,cf,
-8.01704165758902,42.3711653826804,DPb,SX,Ex,IS,ELE,LUMIN,na,,,cf,,na,na,na,na,cf,
-7.99803752424134,42.3766958592591,DPb,SX,Ex,IS,ELE,LUMIN,na,,,cf,,na,na,na,na,cf,
-7.99912736056614,42.3756069119867,DPb,SX,Ex,IS,ELE,LUMIN,na,,,cf,,na,na,na,na,cf,
-7.99808430845789,42.3763765866682,DPb,SX,Ex,IS,ELE,LUMIN,na,,,cf,,na,na,na,na,cf,
-7.99867329543979,42.3754954677644,DPb,SX,Ex,IS,ELE,LUMIN,na,,,cf,,na,na,na,na,cf,
-7.99786144563029,42.376142899032,DPb,SX,Ex,IS,ELE,LUMIN,na,,,cf,,na,na,na,na,cf,
-8.02642906925676,42.3845126917776,DPb,SX,Ex,IS,ELE,LUMIN,na,,,cf,,na,na,na,na,cf,
-8.02614875107041,42.3846522241976,DPb,SX,Ex,IS,ELE,LUMIN,na,,,cf,,na,na,na,na,cf,
-8.02129842008447,42.3691809661122,DPb,SX,Ex,IS,ELE,LUMIN,na,,,cf,,na,na,na,na,cf,
-8.00119946253109,42.3674865545005,DPb,SX,Ex,IS,ELE,LUMIN,na,,,cf,,na,na,na,na,cf,
-8.02028764107528,42.3698786747497,DPb,SX,Ex,IS,ELE,LUMIN,na,,,cf,,na,na,na,na,cf,
-8.02512431290135,42.3858334251682,DPb,SX,Ex,IS,ELE,LUMIN,na,,,cf,,na,na,na,na,cf,
-8.01966581236775,42.3700651774237,DPb,SX,Ex,IS,ELE,LUMIN,na,,,cf,,na,na,na,na,cf,
-8.00521707075916,42.360587052084,DPb,SX,Ex,IS,ELE,LUMIN,na,,,cf,,na,na,na,na,cf,
-8.01625636697614,42.371891658307,DPb,SX,Ex,IS,ELE,LUMIN,na,,,cf,,na,na,na,na,cf,
-8.01626014159556,42.3729137367712,DPb,SX,Ex,IS,ELE,LUMIN,na,,,cf,,na,na,na,na,cf,
-8.00299428847292,42.3613248105241,DPb,SX,Ex,IS,ELE,LUMIN,na,,,cf,,na,na,na,na,cf,
-8.01533816238826,42.3727647664364,DPb,SX,Ex,IS,ELE,LUMIN,na,,,cf,,na,na,na,na,cf,
-8.0257802838214,42.3846813792689,DPb,SX,Ex,IS,ELE,LUMIN,na,,,cf,,na,na,na,na,cf,
-8.01504735203496,42.3723770482603,DPb,SX,Ex,IS,ELE,LUMIN,na,,,cf,,na,na,na,na,cf,
-8.02523981219372,42.3523163162901,DPb,SX,Ex,IS,ELE,LUMIN,na,,,cf,,na,na,na,na,cf,
-8.01553386647036,42.3738100535465,DPb,SX,Ex,IS,ELE,LUMIN,na,,,cf,,na,na,na,na,cf,
-8.01538131526268,42.3739914865734,DPb,SX,Ex,IS,ELE,LUMIN,na,,,cf,,na,na,na,na,cf,
-8.0148365526066,42.3742139555447,DPb,SX,Ex,IS,ELE,LUMIN,na,,,cf,,na,na,na,na,cf,
-8.01531191457087,42.3744898465092,DPb,SX,Ex,IS,ELE,LUMIN,na,,,cf,,na,na,na,na,cf,
-8.02616412425409,42.3848186579911,DPb,SX,Ex,IS,ELE,LUMIN,na,,,cf,,na,na,na,na,cf,
-8.00791683939102,42.357541752719,DPb,SX,Ex,IS,ELE,LUMIN,na,,,cf,,na,na,na,na,cf,
-8.0206189715591,42.369037915659,DPb,SX,Ex,IS,ELE,LUMIN,na,,,cf,,na,na,na,na,cf,
-8.00099293196472,42.3678734214755,DPb,SX,Ex,IS,ELE,LUMIN,na,,,cf,,na,na,na,na,cf,
-8.01898858705168,42.37025872058,DPb,SX,Ex,IS,ELE,LUMIN,na,,,cf,,na,na,na,na,cf,
